"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "TypeScript", "Ignore", "Skill", "YAML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\.spec.swcrc", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\eslint.config.mjs", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\jest.config.cts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 4, 22
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\package.json", "JSON", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 97
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\src\app\app.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\src\app\app.controller.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\src\app\app.service.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\src\app\app.service.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\src\main.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 4, 22
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\tsconfig.app.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\tsconfig.json", "JSON with Comments", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\tsconfig.spec.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_server\webpack.config.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\PROJECT_DESIGN.md", "Markdown", 0, 0, 0, 345, 0, 0, 0, 0, 0, 0, 0, 159, 504
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\edgecases\Edge_#1.md", "Markdown", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 40, 151
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\edgecases\Edge_#2.md", "Markdown", 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 74, 338
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\edgecases\Edge_#3.md", "Markdown", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 44, 222
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\edgecases\Edge_#4.md", "Markdown", 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 76, 294
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\edgecases\Edge_#5.md", "Markdown", 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 126, 448
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\edgecases\Edge_#6.md", "Markdown", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 33, 111
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\edgecases\Edge_#7.md", "Markdown", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 28, 102
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\learning\README.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 10, 44
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\docs\learning\step-04-3d-scene.md", "Markdown", 0, 0, 0, 406, 0, 0, 0, 0, 0, 0, 0, 105, 511
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\eslint.config.mjs", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 43
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\jest.config.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\jest.preset.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\nx.json", "JSON", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\package-lock.json", "JSON", 0, 29980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29981
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\package.json", "JSON", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\tsconfig.base.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\tsconfig.json", "JSON with Comments", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\tsconfig.tsbuildinfo", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 118, 31149, 163, 2734, 1369, 4, 112, 25, 638, 503, 415, 1319, 38549
